"LABEL_ABANDON_MATCH","ABANDON MATCH","无效比赛","BRECHE SPIEL AB","ABANDONAR PARTIDA","ABANDONNER LE MATCH","対戦を放棄","PORZUĆ MECZ","НЕДОСТУПНЫЙ МАТЧ"
"LABEL_CURRENT_MAP","CURRENT MAP","当前队伍","CURRENT MAP","MAPA ACTUAL","CARTE ACTUELLE","CURRENT MAP","AKTUALNA MAPA","CURRENT MAP"
"LABEL_CURRENT_TEAM","CURRENT TEAM","物品提示","CURRENT TEAM","EQUIPO ACTUAL","ÉQUIPE ACTUELLE","CURRENT TEAM","AKTUALNA ARMIA","CURRENT TEAM"
"LABEL_DELETE_MODE","DELETE","下一个","ZERSTÖREN","BORRAR","SUPPRIMER","削除","USUWANIE","УДАЛИТЬ"
"LABEL_DEPLOY","DEPLOY","部署价格","HERSTELLEN","DESPLIEGUE","DÉPLOYER","配備","ROZLOKUJ","ПОСТАВИТЬ"
"LABEL_DEPLOYED","DEPLOYED","移动","GEBAUT","DESPLEGADO","DÉPLOYÉ","配備済","JEDNOSTKI","СДЕЛАНО"
"LABEL_DEPLOY_PRICE","DEPLOY PRICE","范围","HERSTELLUNGSPREIS","PRECIO DESPLIEGUE","PRIX","配備価格","KOSZT","СТОИМОСТЬ"
"LABEL_DEPLOY_UNIT","BUY NEW UNIT","实施行动","KAUFE NEUE EINHEIT","COMPRAR NUEVA UNIDAD","ACH. NOUV. UNITÉ","新しい部隊を購入","KUP JEDNOSTKĘ","КУПИТЬ НОВЫЙ ЮНИТ"
"LABEL_DIFFICULTY","DIFFICULTY","全屏","SCHWIERIGKEIT","DIFICULTAD","DIFFICULTÉ","難度","POZIOM TRUDNOŚCI","СЛОЖНОСТЬ"
"LABEL_DOMINATION","DOMINATION","游戏结束","HERRSCHAFT","DOMINACIÓN","DOMINATION","制覇","DOMINACJA","ДОМИНИРОВАНИЕ"
"LABEL_DONE","Done","上传失败。请稍后再试。","Erledigt","Hecho","Terminé","完了","Zakończ","Готово"
"LABEL_DOWNLOAD","Download","请输入地图代码","Download","Descargar","Télécharger","ダウンロード","Pobierz","Загрузить"
"LABEL_DOWNLOAD_MAP","Download Map","请求玩家ID成功。欢迎来到ToF Online！","Download Karte","Descargar mapa","Envoyer une carte","マップをダウンロード","Pobierz mapę","Загрузить карту"
"LABEL_EASY","EASY","恢复","EINFACH","FÁCIL","FACILE","簡単","ŁATWY","ЛЕГКО"
"LABEL_ELIMINATED","ELIMINATED","部署","ZERSTÖRT","ELIMINADO","ÉLIMINÉ","消滅","WYELIMINOWANE","УБИТО"
"LABEL_END","END","部署","BEENDE","FIN","FIN","終了","KONIEC","ЗАКОНЧИТЬ"
"LABEL_END_TURN","END YOUR TURN","菜单导航","BEENDE DEINE RUNDE","FIN TURNO","FIN DU TOUR","あなたの順番の終了","ZAKOŃCZ TURĘ","ЗАКОНЧИТЬ СВОЙ ХОД"
"LABEL_ENEMY_TURN","OPPONENT TURN","你的回合","GEGNERISCHER ZUG","TURNO DEL OPONENTE","TOUR DE L'ADVERSAIRE","相手の順番","TURA PRZECIWNIKA","ХОД СОПЕРНИКА"
"LABEL_FAILURE","OPERATION FAILURE","正在创建新的比赛。请稍候...","OPERATION FEHLGESCHLAGEN","OPERACIÓN FALLIDA","ÉCHEC DE L'OPÉRATION","操作に失敗しました","OPERACJA NIEUDANA","ОШИБКА"
"LABEL_FALL","FALL","夏季","HERBST","OTOÑO","AUTOMNE","秋","JESIEŃ","ОСЕНЬ"
"LABEL_FORFEIT","FORFEIT","创建","NIEDERLAGE","PERDER","FORFAIT","没収","PORZUĆ","ШТРАФ"
"LABEL_FULL_SCREEN","FULL SCREEN","窗口","VOLLBILDSCHIRM","PANTALLA COMPLETA","PLEIN ÉCRAN","全画面","PEŁNY EKRAN","ПОЛНОЭКРАННЫЙ РЕЖИМ"
"LABEL_GAME","GAME","开","SPIEL","JUEGO","JEU","ゲーム","GRA","ИГРА"
"LABEL_GAMEPAD_INFO","GAMEPAD INFO","购买新单位","GAMEPAD INFO","INFO GAMEPAD","INFO MANETTE","ゲームパッド情報","KONTROLER","ИНФОРМАЦИЯ О КОНСОЛИ"
"LABEL_GAME_MENU_MOVEMENT","NAVIGATE MENU","移动选取框","Menü Navigation","MENÚ DE NAVEGACIÓN","NAVIGATION MENU","ナビゲートメニュー","PORUSZANIE PO MENU","НАЙТИ МЕНЮ"
"LABEL_GAME_OVER","GAME OVER","您将失去地图数据！","SPIELENDE","FIN DEL JUEGO","FIN DE PARTIE","ゲームオーバー","KONIEC GRY","КОНЕЦ ПАРТИИ"
"LABEL_GAME_TIME","GAME TIME","过扫描","SPIELZEIT","TIEMPO DE JUEGO","TEMPS DE JEU","ゲーム時間","CZAS GRY","ВРЕМЯ ИГРЫ"
"LABEL_GFX","GFX","开始上传地图？","GFX","GFX","GRAPH.","GFX","GFX","GFX"
"LABEL_GOT_IT","Got it!","你需要先在遭遇战模式下完成此地图，才能上传它。","Habe es!","¡Lo tengo!","Réussi !","やりました!","OK!","Понял!"
"LABEL_HEALTH","HEALTH","健康值/最大值","GESUNDHEIT","SALUD","VIE","兵力","ZDROWIE","ЗДОРОВЬЯ"
"LABEL_HEALTH_MAX","HEALTH / MAX","攻击","GESUNDHEIT / MAX","SALUD / MÁX","VIE / MAX","兵力 / 最大","ZDROWIE / MAKSYMALNE","ЗДОРОВЬЯ / МАКСИМАЛЬНО"
"LABEL_HELP","HELP","清除","HELP","AYUDA","AIDE","ヘルプ","POMOC","ПОМОЩЬ"
"LABEL_HUMAN","HUMAN","CPU","MENSCH","HUMANO","HUMAIN","人","CZŁOWIEK","ЧЕЛОВЕК"
"LABEL_INFANTRY","INFANTRY","行动时段","INFANTERIE","SOLDADO","INFANTERIE","歩兵","PIECHOTA","ПЕХОТА"
"LABEL_INVALID_MATCH","INVALID MATCH","地图：","UNGÜLTIGES SPIEL","PARTIDA INVÁLIDA","MATCH INVALIDE","無効な対戦","NIEPRAWIDŁOWY MECZ","НЕСУЩЕСТВУЮЩИЙ МАТЧ"
"LABEL_JOIN","JOIN","输入比赛加入代码","BEITRETEN","UNIRSE","REJOINDRE","参加","DOŁĄCZ","ВОЙТИ"
"LABEL_JOIN_MATCH","JOIN A MATCH","网络操作失败。请检查您的互联网连接并重试。","EINEM SPIEL BEITRETEN","UNIRSE A UNA PARTIDA","REJOINDRE UN MATCH","対戦に参加","DOŁĄCZ DO MECZU","ПРИСОЕДИНИТЬСЯ НА МАТЧ"
"LABEL_LANGUAGE","LANGUAGE","需要重启地图","SPRACHE","IDIOMA","LANGUE","言語","JĘZYK","ЯЗЫК"
"LABEL_LATER","Maybe later","注册","Vielleicht später","Quiza más tarde","Plus tard...","たぶん後で","Może później","Может быть позже"
"LABEL_LOADING_MATCH","LOADING MATCH","跳过","LADE SPIEL","CARGANDO PARTIDA","CHARGEMENT DU MATCH","対戦のロード中","WCZYTYWANIE MECZU","ЗАГРУЗКА МАТЧА"
"LABEL_LOCAL","LOCAL","远程","LOKAL","LOCAL","LOCAL","ローカル","LOKALNE","ЛОКАЛЬНЫЙ"
"LABEL_MAIN_MENU","MAIN MENU","工坊","HAUPTMENU","MENÚ PRINCIPAL","MENU","メインメニュー","MENU GŁÓWNE","ГЛАВНОЕ МЕНЮ"
"LABEL_MAP EDITOR","MAP EDITOR","开始演示","KARTEN EDITOR","EDITOR MAPA","ÉDITEUR","マップエディター","EDYTOR MAP","РЕДАКТОР КАРТ"
"LABEL_MAPS","MAPS","扮演","KARTEN","MAPAS","CARTE","マップ","MAPY","КАРТ"
"LABEL_MAPS_CREATED","MAPS CREATED","普通","KARTEN ERSTELLT","MAPAS CREADOS","CARTES CRÉÉES","マップを作成しました","STWORZONYCH MAP","СДЕЛАНО КАРТ"
"LABEL_MAP_CODE","MAP: ","对手离开","KARTE: ","MAPA: ","CARTE : ","マップ: ","MAPA: ","КАРТА: "
"LABEL_MAP_NAME","MAP NAME","下一回合获得","KARTENNAME","NOMBRE MAPA","NOM CARTE","マップ名","NAZWA MAPY","НАЗВАНИЕ КАРТЫ"
"LABEL_MAP_TO_UPLOAD","Map to upload","加载","KARTEN HOCHLADEN","Mapa para subir","Carte à envoyer","アップロードするマップ","Mapa do wysłania","Карта для загрузки"
"LABEL_MATCH_CODE","MATCH CODE: ","加入比赛。请稍候...","SPIEL CODE: ","CÓDIGO PARTIDA: ","CODE DU MATCH : ","対戦コード: ","KOD MECZU: ","КОД МАТЧА: "
"LABEL_MATCH_ENDED","MATCH ENDED","进行中","SPIEL BEENDET","PARTIDA FINALIZADA","FIN DU MATCH","対戦終了","ZAKOŃCZONY","МАТЧ ЗАКОНЧИЛСЯ"
"LABEL_MATCH_FORFEIT","OPPONENT LEFT","比赛结束","GEGNER HAT DAS SPIEL VERLASSEN","EL OPONENTE HA ABANDONADO","ADVERSAIRE PARTI","相手の残り","MECZ PORZUCONY","СОПЕРНИК УШЕЛ"
"LABEL_MATCH_IN_PROGRESS","IN PROGRESS","新比赛","SPIEL LAUFEND","EN PROGRESO","EN COURS","進行中","ROZPOCZĘTY","В ПРОГРЕССЕ"
"LABEL_MENU","MENU","玩家用时","MENÜ","MENÚ","MENU","メニュー","MENU","МЕНЮ"
"LABEL_MISSION","MISSION","联网模式","MISSION","MISIÓN","MISSION","ミッション","MISJA","МИССИЯ"
"LABEL_MISSION_COMPLETED","MISSION COMPLETED","开始游戏","MISSION ABGESCHLOSSEN","MISIÓN COMPLETADA","MISSION TERMINÉE","ミッション完了","MISJA ZAKOŃCZONA","МИССИЯ ПРОЙДЕНА"
"LABEL_MOVES","MOVES","占领","ZÜGE","MUEVES","COUPS","移動","RUCHY","ХОДОВ"
"LABEL_MULTIPLAYER","MULTIPLAYER","刷新","MEHRSPIELER","MULTIJUGADOR","MULTIJOUEUR","マルチプレイヤー","TRYB WIELOOSOBOWY","МУЛЬТИПЛЕЕР"
"LABEL_MUSIC","MUSIC","音效","MUSIK","MÚSICA","MUSIQUE","音楽","MUZYKA","МУЗЫКА"
"LABEL_NAME","NAME","上一个","NAME","NOMBRE","NOM","名前","IMIĘ","ИМЯ"
"LABEL_NEW_MATCH","NEW MATCH","你输了","NEUES SPIEL","NUEVA PARTIDA","NOUVEAU MATCH","新しい対戦","NOWY MECZ","НОВЫЙ МАТЧ"
"LABEL_NEW_TURN","NEW TURN","回合","NEUE RUNDE","NUEVO TURNO","NOUV. TOUR","新しい順番","NOWA TURA","НОВЫЙ ХОД"
"LABEL_NEXT","NEXT","完成","WEITER","SIGUIENTE","SUIVANT","次","NASTĘPNY","СЛЕДУЮЩАЯ"
"LABEL_NEXT_TURN","END TURN","确认","RUNDE BEENDEN","FINALIZAR TURNO","FINIR TOUR","順番の終了","KONIEC TURY","ЗАКОНЧИТЬ ХОД"
"LABEL_NEXT_TURN_GAIN","NEXT TURN GAIN","建筑物","EINNAHMEN NÄCHSTE RUNDE","PRÓX.TURNO GANAS","TOUR SUIVANT","次の順番を手に入れる","ZYSK NA TURĘ","ПРИБЫЛЬ НА СЛЕДУЮЩИЙ ХОД"
"LABEL_NEXT_UNIT","SELECT NEXT UNIT","选取上一个单位","NÄCHSTE EINHEIT WÄHLEN","SELECCIONAR UNIDAD SIGUIENTE","UNITÉ SUIVANTE","次の部隊を選択","NASTĘPNA JEDNOSTKA","СЛЕДУЮЩИЙ ЮНИТ"
"LABEL_NORMAL","NORMAL","简单","NORMAL","NORMAL","NORMAL","通常","NORMALNY","СРЕДНЕ"
"LABEL_NO_MORE_MOVES","NO MOVES LEFT","红队回合","NO MOVES LEFT","NO QUEDAN MOVIMIENTOS","PLUS DE DÉPLACEMENTS","NO MOVES LEFT","BRAK RUCHÓW","NO MOVES LEFT"
"LABEL_OFF","OFF","本地","AUS","NO","NON","オフ","NIE","ВЫКЛ"
"LABEL_OK","OK","请重新检查文件名","OK","OK","OK","OK","OK","Хорошо"
"LABEL_ON","ON","关","AN","SÍ","OUI","オン","TAK","ВКЛ"
"LABEL_ONLINE","ONLINE","地图编辑器","ONLINE","EN LÍNEA","ONLINE","オンライン","ONLINE","ОНЛАЙН"
"LABEL_ONLINE_MENU","ONLINE MAPS","知道了！","ONLINE KARTEN","MAPAS ONLINE","CARTES EN LIGNE","オンラインマップ","MAPY ONLINE","ОНЛАЙН КАРТЫ"
"LABEL_OVERSCAN","OVERSCAN","语言","OVERSCAN","OVERSCAN","OVERSCAN","オーバースキャン","OVERSCAN","ОВЕРСКАН"
"LABEL_PAGE","PAGE","地图","SEITE","PÁGINA","PAGE","ページ","STRONA","ЛИСТ"
"LABEL_PICK_SIDE","PICK SIDE","继续","SEITE AUSWÄHLEN","ELIGE FACCIÓN","CHOISIR UN CAMP","サイドを選択","WYBIERZ STRONĘ","ВЫБРАТЬ СТОРОНУ"
"LABEL_PLAY","PLAY","回合限制:","SPIELEN","JUGAR","JOUER","プレー","GRAJ","ИГРАТЬ"
"LABEL_PLAYERS_TIME","PLAYERS TIME","总分数","ZEIT DES SPIELERS","TIEMPO JUGADORES","TEMPS JOUEURS","プレイヤーの時間","CZAS GRACZA","ВРЕМЯ ИГРОКА"
"LABEL_PLAYING_AS","PLAYING AS","红队获胜","SPIELEN ALS…","JUGANDO COMO","JOUER","プレー中","GRASZ JAKO","ИГРА ЗА"
"LABEL_PLAY_AGAIN","PLAY AGAIN","菜单","NOCHMAL SPIELEN","JUGAR DE NUEVO","REJOUER","もう一度プレイ","REWANŻ","ЗАНОВО"
"LABEL_PLEASE_WAIT","PLEASE WAIT...","选择单位","BITTE WARTEN…","POR FAVOR ESPERA...","UN INSTANT...","しばらくお待ちください...","PROSZĘ CZEKAĆ...","ПОДОЖДИТЕ"
"LABEL_PREVIEW","PREVIEW","格子","PREVIEW","PREVISUALIZAR","APERÇU","プレビュー","PODGLĄD","ПРЕДПРОСМОТР"
"LABEL_PREVIOUS","PREVIOUS","远征通关","ZURÜCK","ANTERIOR","PRÉCÉDENT","前","POPRZEDNI","ПРЕДЫДУЩАЯ"
"LABEL_PREVIOUS_UNIT","SELECT PREVIOUS UNIT","游戏手柄图示","VORHERIGE EINHEIT WÄHLEN","SELECCIONAR UNIDAD ANTERIOR","UNITÉ PRÉCÉDENTE","前の部隊を選択","POPRZEDNIA JEDNOSTKA","ПРЕДЫДУЩИЙ ЮНИТ"
"LABEL_PROCEED","PROCEED","您想主持一个新比赛吗？","WEITER","PROCEDER","CONTINUER","続行","KONTYNUUJ","ПРОДОЛЖИТЬ"
"LABEL_PROCEED_QUESTION","Proceed?","要上传的地图","Weiter?","¿Proceder?","Continuer ?","続行しますか?","Kontynuować?","Продолжить?"
"LABEL_QUIT_GAME","QUIT GAME","设置","BEENDE SPIEL","SALIR","QUITTER","ゲームを終了","WYJDŹ","ВЫЙТИ"
"LABEL_RANGE","RANGE","直升机","REICHWEITE","ALCANCE","RANG","範囲","ZASIĘG","ДАЛЬНОСТЬ ХОДА"
"LABEL_RED","RED","蓝队","ROT","ROJO","ROUGE","レッド","CZERWONA","КРАСНЫЙ"
"LABEL_RED_TEAM","RED TEAM","蓝方军团","TEAM ROT","EQUIPO ROJO","ÉQUIPE ROUGE","レッドチーム","ARMIA CZERWONA","КРАСНАЯ КОМАНДА"
"LABEL_RED_TEAM_TURN","RED TEAM TURN","蓝队回合","RED TEAM TURN","TURNO EQUIPO ROJO","TOUR ÉQUIPE ROUGE","RED TEAM TURN","TURA ARMII CZERWONEJ","RED TEAM TURN"
"LABEL_RED_WINS","RED WINS","蓝队获胜","SIEGE ROT","ROJO GANA","LES ROUGES GAGNENT","レッドの勝ち","ZWYCIĘŻYLI CZERWONI","КРАСНЫЕ ПОБЕДИЛИ"
"LABEL_REFRESH","REFRESH","重新进行回合","AKTUALISIEREN","REFRESCAR","RAFRAÎCHIR","更新","ODŚWIEŻ","ОБНОВИТЬ"
"LABEL_REFRESHING_MATCHES","REFRESHING MATCHES","CPU 回合","Aktualisiere Ergebnisse","ACTUALIZANDO PARTIDAS","RAFRAÎCHISSEMENT","対戦の更新中","ODŚWIEŻANIE MECZY","ОБНОВИТЬ МАТЧИ"
"LABEL_REGISTER","Register","在你开始使用在线选项之前，我们需要在我们的在线系统中注册你的设备。","Registrieren","Registro","Enregistrer","登録","Rejestruj","Регистрация"
"LABEL_REGISTER_PLAYER","Register Player","以后再说","Spieler registrieren","Registrar jugador/a","Enregist. joueur","登録プレイヤー","Zarejestruj Gracza","Зарегистрировать игрока"
"LABEL_REMOTE","REMOTE","通信塔","REMOTE","REMOTO","DISTANT","リモート","ZDALNE","ОТДАЛЕННЫЙ"
"LABEL_REPLAY","REPLAY","您想回看对手的回合吗？","WIEDERHOLUNG","REPETICIÓN","REJOUER","リプレイ","POWTÓRKA","ПОВТОР"
"LABEL_REPLAYING_MOVES","REPLAYING TURN","检查新动作...","WIEDERHOLE ZUG","REPETIR TURNO","REJOUER LE TOUR","リプレイ中","ODTWARZANIE TURY","ЗАПИСАННЫЙ ХОД"
"LABEL_REQUIES_RESTART","MAP RESTART REQUIRED","再玩一次","MAP RESTART REQUIRED","SE REQUIERE REINICIAR EL MAPA","REDÉMARRAGE REQUIS","マップの再開が必要","WYMAGA RESTARTU MAPY","НУЖНА ПЕРЕЗАГРУЗКА КАРТЫ"
"LABEL_RESUME","RESUME","游戏","WEITER","REANUDAR","CONTINUER","再開","KONTYNUUJ","ПРОДОЛЖИТЬ"
"LABEL_RUN_DEMO","RUN DEMO","退出游戏","STARTE DEMO","EJECUTAR DEMO","DÉMO","デモを実行","DEMO","ДЕМО"
"LABEL_SELECT","PERFORM ACTION","打开主菜单","AKTION DURCHFÜHREN","REALIZAR UNA ACCIÓN","EFFECTUER ACTION","アクションを実行","WYKONAJ AKCJĘ","ПРОАНАЛИЗИРОВАТЬ ДЕЙСТВИЕ"
"LABEL_SELECTED_MAP","SELECTED MAP:","后退","GEWÄHLTE KARTE","MAPA SELECCIONADO:","CARTE CHOISIE :","選択したマップ:","WYBRANA MAPA","КАРТА:"
"LABEL_SELECTOR_MOVEMENT","MOVE FIELD SELECTOR","选取下一个单位","Auswahl bewegen","MOVER SELECTOR DE CAMPO","DÉPLACER SÉLECTION","フィールドセレクタを移動","PORUSZ WSKAŹNIKIEM","ПЕРЕДВИНУТЬ ВЫБИРАТЕЛЬ КАРТ"
"LABEL_SELECT_UNIT","SELECT UNIT","地图名称","WÄHLE EINHEIT","SELECCIONAR UNIDAD","CHOISIR","部隊を選択","WYBIERZ JEDNOSTKĘ","ВЫБРАТЬ ЮНИТ"
"LABEL_SETTINGS","SETTINGS","胜利","EINSTELLUNGEN","OPCIONES","RÉGLAGES","設定","USTAWIENIA","НАСТРОЙКИ"
"LABEL_SHOW_REPLAY","SHOW REPLAY","正在清除游戏房间。请稍候...","WIEDERHOLUNG ZEIGEN","MOSTRAR REPETICIÓN","MONTRER LE REPLAY","リプレイを表示","POKAŻ POWTÓRKĘ","ПОКАЗАТЬ ПОВТОР"
"LABEL_SKIP","SKIP","重启游戏","ÜBERSPRINGEN","OMITIR","PASSER","スキップ","POMIŃ","ПPОПУСТИТЬ"
"LABEL_SKIRMISH","SKIRMISH","远征","GEFECHT","ESCARAMUZA","ESCARMOUCHE","戦闘","POTYCZKA","СОСТЯЗАНИЕ"
"LABEL_SMALLER","SMALLER","放大","KLEINER","MENOR","+ PETIT","小さく","DALEJ","БЛИЖЕ"
"LABEL_SOUND","SFX","画面","SFX","SFX","SON","SFX","DZWIĘK","SFX"
"LABEL_SOUND_EFFECTS","SOUND EFFECTS","请等待...","SOUND EFFEKTE","EFECTOS SONIDO","EFFETS SONORES","サウンド効果","EFEKTY DZWIĘKOWE","ЗВУКИ"
"LABEL_START","START","红队","START","COMENZAR","DÉMARRER","開始","START","СТАРТ"
"LABEL_START_TURN","START TURN","主菜单","STARTE RUNDE","INICIAR TURNO","GO !","順番を開始","START TURY","НАЧАТЬ ХОД"
"LABEL_SUMMER","SUMMER","地图主题","SOMMER","VERANO","ÉTÉ","夏","LATO","ЛЕТО"
"LABEL_TIME","TIME","红队","ZEIT","TIEMPO","TEMPS","時間","CZAS","ВРЕМЯ"
"LABEL_TOOLTIPS","TOOLTIPS","声音","TOOLTIPS","DESCRIPCIONES EMERGENTES","INFOBULLES","TOOLTIPS","PODPOWIEDZI","TOOLTIPS"
"LABEL_TOTAL_SCORE","TOTAL SCORE","时间","GESAMTPUNKTE","TOTAL PUNTOS","SCORE TOTAL","トータルスコア","PUNKTACJA","ОБЩИЙ СЧЕТ"
"LABEL_TURN","TURN","结束","RUNDE","TURNO","TOUR","順番","TURA","ХОД"
"LABEL_TURNS","TURNS","游戏时间","RUNDEN","TURNOS","TOURS","手","TURY","ХОДОВ"
"LABEL_TURNS_CAP","TURNS CAP:","选定的地图：","RUNDEN CAP","TURNOS:","LIMITE TOURS :","順番の獲得:","OGRANICZENIE TUR","МАКС КОЛ-ВО ХОДОВ:"
"LABEL_TURNS_CAP:","TURNS CAP:","删除","RUNDEN CAP:","TURNOS:","TOURS :","順番の獲得:","OGRANICZENIE TUR","МАКС КОЛ-ВО ХОДОВ:"
"LABEL_UNIT","UNIT","行动点","EINHEIT","UNIDAD","UNITÉ","部隊","JEDNOSTKA","ЮНИТ"
"LABEL_UNIT_ATTACK","attack","确认","Angriff","ataque","ATTAQUE","攻撃","ATAK","атака"
"LABEL_UNIT_HEALTH","health","攻击","Gesundheit","salud","VIE","兵力","ZDROWIE","здоровье"
"LABEL_UNIT_HELI","HELI","步兵","HELI","HELI","HÉLICO","ヘリ","ŚMIGŁOWIEC","ВЕРТОЛЕТ"
"LABEL_UNIT_RANGE","range","健康值","Entfernung","alcance","PORTÉE","範囲","ZASIĘG","дальность хода"
"LABEL_UPLOAD","Upload","上传地图","Upload","Subir","Envoyer","アップロード","Wyślij","Экспорт"
